month,market,product,budget_revenue,budget_cost,budget_expense,budget_profit
2025-03,Japan,Robot Vacuum,4789085.52,2155088.49,862035.39,1771961.64
2025-03,Japan,Wet-Dry Vacuum,1567337.08,752321.8,282120.67,532894.61
2025-03,Japan,Stick Vacuum,870742.82,435371.41,156733.71,278637.7
2025-03,Japan,Washer-Dryer,696594.26,362229.01,125386.97,208978.28
2025-03,Japan,Other Smart Home,783668.54,376160.9,141060.34,266447.3
2025-03,Rest of Europe,Robot Vacuum,4789085.52,2155088.49,862035.39,1771961.64
2025-03,Rest of Europe,Wet-Dry Vacuum,1567337.08,752321.8,282120.67,532894.61
2025-03,Rest of Europe,Stick Vacuum,870742.82,435371.41,156733.71,278637.7
2025-03,Rest of Europe,Washer-Dryer,696594.26,362229.01,125386.97,208978.28
2025-03,Rest of Europe,Other Smart Home,783668.54,376160.9,141060.34,266447.3
2025-03,Rest of Asia,Robot Vacuum,3420775.37,1539348.92,615739.57,1265686.89
2025-03,Rest of Asia,Wet-Dry Vacuum,1119526.49,537372.71,201514.77,380639.01
2025-03,Rest of Asia,Stick Vacuum,621959.16,310979.58,111952.65,199026.93
2025-03,Rest of Asia,Washer-Dryer,497567.33,258735.01,89562.12,149270.2
2025-03,Rest of Asia,Other Smart Home,559763.24,268686.36,100757.38,190319.5
2025-04,China,Robot Vacuum,34608494.74,15573822.63,6229529.05,12805143.05
2025-04,China,Wet-Dry Vacuum,11326416.46,5436679.9,2038754.96,3850981.6
2025-04,China,Stick Vacuum,6292453.59,3146226.79,1132641.65,2013585.15
2025-04,China,Washer-Dryer,5033962.87,2617660.69,906113.32,1510188.86
2025-04,China,Other Smart Home,5663208.23,2718339.95,1019377.48,1925490.8
2025-04,United States,Robot Vacuum,12459058.11,5606576.15,2242630.46,4609851.5
2025-04,United States,Wet-Dry Vacuum,4077509.93,1957204.76,733951.79,1386353.37
2025-04,United States,Stick Vacuum,2265283.29,1132641.65,407750.99,724890.65
2025-04,United States,Washer-Dryer,1812226.63,942357.85,326200.79,543667.99
2025-04,United States,Other Smart Home,2038754.96,978602.38,366975.89,693176.69
2025-04,Germany,Robot Vacuum,5537359.16,2491811.62,996724.65,2048822.89
2025-04,Germany,Wet-Dry Vacuum,1812226.63,869868.78,326200.79,616157.06
2025-04,Germany,Stick Vacuum,1006792.57,503396.29,181222.66,322173.62
2025-04,Germany,Washer-Dryer,805434.06,418825.71,144978.13,241630.22
2025-04,Germany,Other Smart Home,906113.32,434934.39,163100.4,308078.53
2025-04,United Kingdom,Robot Vacuum,3460849.47,1557382.26,622952.91,1280514.31
2025-04,United Kingdom,Wet-Dry Vacuum,1132641.65,543667.99,203875.5,385098.16
2025-04,United Kingdom,Stick Vacuum,629245.36,314622.68,113264.16,201358.51
2025-04,United Kingdom,Washer-Dryer,503396.29,261766.07,90611.33,151018.89
2025-04,United Kingdom,Other Smart Home,566320.82,271834.0,101937.75,192549.08
2025-04,Japan,Robot Vacuum,4845189.26,2180335.17,872134.07,1792720.03
2025-04,Japan,Wet-Dry Vacuum,1585698.3,761135.19,285425.69,539137.42
2025-04,Japan,Stick Vacuum,880943.5,440471.75,158569.83,281901.92
2025-04,Japan,Washer-Dryer,704754.8,366472.5,126855.86,211426.44
2025-04,Japan,Other Smart Home,792849.15,380567.59,142712.85,269568.71
2025-04,Rest of Europe,Robot Vacuum,4845189.26,2180335.17,872134.07,1792720.03
2025-04,Rest of Europe,Wet-Dry Vacuum,1585698.3,761135.19,285425.69,539137.42
2025-04,Rest of Europe,Stick Vacuum,880943.5,440471.75,158569.83,281901.92
2025-04,Rest of Europe,Washer-Dryer,704754.8,366472.5,126855.86,211426.44
2025-04,Rest of Europe,Other Smart Home,792849.15,380567.59,142712.85,269568.71
2025-04,Rest of Asia,Robot Vacuum,3460849.47,1557382.26,622952.91,1280514.31
2025-04,Rest of Asia,Wet-Dry Vacuum,1132641.65,543667.99,203875.5,385098.16
2025-04,Rest of Asia,Stick Vacuum,629245.36,314622.68,113264.16,201358.51
2025-04,Rest of Asia,Washer-Dryer,503396.29,261766.07,90611.33,151018.89
2025-04,Rest of Asia,Other Smart Home,566320.82,271834.0,101937.75,192549.08
2025-05,China,Robot Vacuum,35013930.38,15756268.67,6302507.47,12955154.24
2025-05,China,Wet-Dry Vacuum,11459104.49,5500370.15,2062638.81,3896095.53
2025-05,China,Stick Vacuum,6366169.16,3183084.58,1145910.45,2037174.13
2025-05,China,Washer-Dryer,5092935.33,2648326.37,916728.36,1527880.6
2025-05,China,Other Smart Home,5729552.24,2750185.08,1031319.4,1948047.76
2025-05,United States,Robot Vacuum,12605014.94,5672256.72,2268902.69,4663855.53
2025-05,United States,Wet-Dry Vacuum,4125277.62,1980133.26,742549.97,1402594.39
2025-05,United States,Stick Vacuum,2291820.9,1145910.45,412527.76,733382.69
2025-05,United States,Washer-Dryer,1833456.72,953397.49,330022.21,550037.02
2025-05,United States,Other Smart Home,2062638.81,990066.63,371274.99,701297.19
2025-05,Germany,Robot Vacuum,5602228.86,2521002.99,1008401.19,2072824.68
2025-05,Germany,Wet-Dry Vacuum,1833456.72,880059.22,330022.21,623375.28
2025-05,Germany,Stick Vacuum,1018587.07,509293.53,183345.67,325947.86
2025-05,Germany,Washer-Dryer,814869.65,423732.22,146676.54,244460.9
2025-05,Germany,Other Smart Home,916728.36,440029.61,165011.1,311687.64
2025-05,United Kingdom,Robot Vacuum,3501393.04,1575626.87,630250.75,1295515.42
2025-05,United Kingdom,Wet-Dry Vacuum,1145910.45,550037.02,206263.88,389609.55
2025-05,United Kingdom,Stick Vacuum,636616.92,318308.46,114591.04,203717.41
2025-05,United Kingdom,Washer-Dryer,509293.53,264832.64,91672.84,152788.06
2025-05,United Kingdom,Other Smart Home,572955.22,275018.51,103131.94,194804.78
2025-05,Japan,Robot Vacuum,4901950.25,2205877.61,882351.05,1813721.59
2025-05,Japan,Wet-Dry Vacuum,1604274.63,770051.82,288769.43,545453.37
2025-05,Japan,Stick Vacuum,891263.68,445631.84,160427.46,285204.38
2025-05,Japan,Washer-Dryer,713010.95,370765.69,128341.97,213903.28
2025-05,Japan,Other Smart Home,802137.31,385025.91,144384.72,272726.69
2025-05,Rest of Europe,Robot Vacuum,4901950.25,2205877.61,882351.05,1813721.59
2025-05,Rest of Europe,Wet-Dry Vacuum,1604274.63,770051.82,288769.43,545453.37
2025-05,Rest of Europe,Stick Vacuum,891263.68,445631.84,160427.46,285204.38
2025-05,Rest of Europe,Washer-Dryer,713010.95,370765.69,128341.97,213903.28
2025-05,Rest of Europe,Other Smart Home,802137.31,385025.91,144384.72,272726.69
2025-05,Rest of Asia,Robot Vacuum,3501393.04,1575626.87,630250.75,1295515.42
2025-05,Rest of Asia,Wet-Dry Vacuum,1145910.45,550037.02,206263.88,389609.55
2025-05,Rest of Asia,Stick Vacuum,636616.92,318308.46,114591.04,203717.41
2025-05,Rest of Asia,Washer-Dryer,509293.53,264832.64,91672.84,152788.06
2025-05,Rest of Asia,Other Smart Home,572955.22,275018.51,103131.94,194804.78
2025-06,China,Robot Vacuum,35424115.66,15940852.05,6376340.82,13106922.8
2025-06,China,Wet-Dry Vacuum,11593346.94,5564806.53,2086802.45,3941737.96
2025-06,China,Stick Vacuum,6440748.3,3220374.15,1159334.69,2061039.46
2025-06,China,Washer-Dryer,5152598.64,2679351.29,927467.76,1545779.59
2025-06,China,Other Smart Home,5796673.47,2782403.27,1043401.23,1970868.98
2025-06,United States,Robot Vacuum,12752681.64,5738706.74,2295482.7,4718492.21
2025-06,United States,Wet-Dry Vacuum,4173604.9,2003330.35,751248.88,1419025.67
2025-06,United States,Stick Vacuum,2318669.39,1159334.69,417360.49,741974.2
2025-06,United States,Washer-Dryer,1854935.51,964566.47,333888.39,556480.65
2025-06,United States,Other Smart Home,2086802.45,1001665.18,375624.44,709512.83
2025-06,Germany,Robot Vacuum,5667858.51,2550536.33,1020214.53,2097107.65
2025-06,Germany,Wet-Dry Vacuum,1854935.51,890369.05,333888.39,630678.07
2025-06,Germany,Stick Vacuum,1030519.73,515259.86,185493.55,329766.31
2025-06,Germany,Washer-Dryer,824415.78,428696.21,148394.84,247324.73
2025-06,Germany,Other Smart Home,927467.76,445184.52,166944.2,315339.04
2025-06,United Kingdom,Robot Vacuum,3542411.57,1594085.2,637634.08,1310692.28
2025-06,United Kingdom,Wet-Dry Vacuum,1159334.69,556480.65,208680.25,394173.8
2025-06,United Kingdom,Stick Vacuum,644074.83,322037.42,115933.47,206103.95
2025-06,United Kingdom,Washer-Dryer,515259.86,267935.13,92746.78,154577.96
2025-06,United Kingdom,Other Smart Home,579667.35,278240.33,104340.12,197086.9
2025-06,Japan,Robot Vacuum,4959376.19,2231719.29,892687.71,1834969.19
2025-06,Japan,Wet-Dry Vacuum,1623068.57,779072.91,292152.34,551843.31
2025-06,Japan,Stick Vacuum,901704.76,450852.38,162306.86,288545.52
2025-06,Japan,Washer-Dryer,721363.81,375109.18,129845.49,216409.14
2025-06,Japan,Other Smart Home,811534.29,389536.46,146076.17,275921.66
2025-06,Rest of Europe,Robot Vacuum,4959376.19,2231719.29,892687.71,1834969.19
2025-06,Rest of Europe,Wet-Dry Vacuum,1623068.57,779072.91,292152.34,551843.31
2025-06,Rest of Europe,Stick Vacuum,901704.76,450852.38,162306.86,288545.52
2025-06,Rest of Europe,Washer-Dryer,721363.81,375109.18,129845.49,216409.14
2025-06,Rest of Europe,Other Smart Home,811534.29,389536.46,146076.17,275921.66
2025-06,Rest of Asia,Robot Vacuum,3542411.57,1594085.2,637634.08,1310692.28
2025-06,Rest of Asia,Wet-Dry Vacuum,1159334.69,556480.65,208680.25,394173.8
2025-06,Rest of Asia,Stick Vacuum,644074.83,322037.42,115933.47,206103.95
2025-06,Rest of Asia,Washer-Dryer,515259.86,267935.13,92746.78,154577.96
2025-06,Rest of Asia,Other Smart Home,579667.35,278240.33,104340.12,197086.9
2025-07,China,Robot Vacuum,35839106.24,16127597.81,6451039.12,13260469.31
2025-07,China,Wet-Dry Vacuum,11729162.04,5629997.78,2111249.17,3987915.09
2025-07,China,Stick Vacuum,6516201.13,3258100.57,1172916.2,2085184.36
2025-07,China,Washer-Dryer,5212960.91,2710739.67,938332.96,1563888.27
2025-07,China,Other Smart Home,5864581.02,2814998.89,1055624.58,1993957.55
2025-07,United States,Robot Vacuum,12902078.25,5805935.21,2322374.08,4773768.95
2025-07,United States,Wet-Dry Vacuum,4222498.33,2026799.2,760049.7,1435649.43
2025-07,United States,Stick Vacuum,2345832.41,1172916.2,422249.83,750666.37
2025-07,United States,Washer-Dryer,1876665.93,975866.28,337799.87,562999.78
2025-07,United States,Other Smart Home,2111249.17,1013399.6,380024.85,717824.72
2025-07,Germany,Robot Vacuum,5734257.0,2580415.65,1032166.26,2121675.09
2025-07,Germany,Wet-Dry Vacuum,1876665.93,900799.64,337799.87,638066.42
2025-07,Germany,Stick Vacuum,1042592.18,521296.09,187666.59,333629.5
2025-07,Germany,Washer-Dryer,834073.75,433718.35,150133.27,250222.12
2025-07,Germany,Other Smart Home,938332.96,450399.82,168899.93,319033.21
2025-07,United Kingdom,Robot Vacuum,3583910.62,1612759.78,645103.91,1326046.93
2025-07,United Kingdom,Wet-Dry Vacuum,1172916.2,562999.78,211124.92,398791.51
2025-07,United Kingdom,Stick Vacuum,651620.11,325810.06,117291.62,208518.44
2025-07,United Kingdom,Washer-Dryer,521296.09,271073.97,93833.3,156388.83
2025-07,United Kingdom,Other Smart Home,586458.1,281499.89,105562.46,199395.75
2025-07,Japan,Robot Vacuum,5017474.87,2257863.69,903145.48,1856465.7
2025-07,Japan,Wet-Dry Vacuum,1642082.69,788199.69,295574.88,558308.11
2025-07,Japan,Stick Vacuum,912268.16,456134.08,164208.27,291925.81
2025-07,Japan,Washer-Dryer,729814.53,379503.55,131366.61,218944.36
2025-07,Japan,Other Smart Home,821041.34,394099.84,147787.44,279154.06
2025-07,Rest of Europe,Robot Vacuum,5017474.87,2257863.69,903145.48,1856465.7
2025-07,Rest of Europe,Wet-Dry Vacuum,1642082.69,788199.69,295574.88,558308.11
2025-07,Rest of Europe,Stick Vacuum,912268.16,456134.08,164208.27,291925.81
2025-07,Rest of Europe,Washer-Dryer,729814.53,379503.55,131366.61,218944.36
2025-07,Rest of Europe,Other Smart Home,821041.34,394099.84,147787.44,279154.06
2025-07,Rest of Asia,Robot Vacuum,3583910.62,1612759.78,645103.91,1326046.93
2025-07,Rest of Asia,Wet-Dry Vacuum,1172916.2,562999.78,211124.92,398791.51
2025-07,Rest of Asia,Stick Vacuum,651620.11,325810.06,117291.62,208518.44
2025-07,Rest of Asia,Washer-Dryer,521296.09,271073.97,93833.3,156388.83
2025-07,Rest of Asia,Other Smart Home,586458.1,281499.89,105562.46,199395.75
2025-08,China,Robot Vacuum,36258958.39,16316531.27,6526612.51,13415814.6
2025-08,China,Wet-Dry Vacuum,11866568.2,5695952.74,2135982.28,4034633.19
2025-08,China,Stick Vacuum,6592537.89,3296268.94,1186656.82,2109612.12
2025-08,China,Washer-Dryer,5274030.31,2742495.76,949325.46,1582209.09
2025-08,China,Other Smart Home,5933284.1,2847976.37,1067991.14,2017316.59
2025-08,United States,Robot Vacuum,13053225.02,5873951.26,2349580.5,4829693.26
2025-08,United States,Wet-Dry Vacuum,4271964.55,2050542.98,768953.62,1452467.95
2025-08,United States,Stick Vacuum,2373313.64,1186656.82,427196.46,759460.36
2025-08,United States,Washer-Dryer,1898650.91,987298.47,341757.16,569595.27
2025-08,United States,Other Smart Home,2135982.28,1025271.49,384476.81,726233.97
2025-08,Germany,Robot Vacuum,5801433.34,2610645.0,1044258.0,2146530.34
2025-08,Germany,Wet-Dry Vacuum,1898650.91,911352.44,341757.16,645541.31
2025-08,Germany,Stick Vacuum,1054806.06,527403.03,189865.09,337537.94
2025-08,Germany,Washer-Dryer,843844.85,438799.32,151892.07,253153.45
2025-08,Germany,Other Smart Home,949325.46,455676.22,170878.58,322770.66
2025-08,United Kingdom,Robot Vacuum,3625895.84,1631653.13,652661.25,1341581.46
2025-08,United Kingdom,Wet-Dry Vacuum,1186656.82,569595.27,213598.23,403463.32
2025-08,United Kingdom,Stick Vacuum,659253.79,329626.89,118665.68,210961.21
2025-08,United Kingdom,Washer-Dryer,527403.03,274249.58,94932.55,158220.91
2025-08,United Kingdom,Other Smart Home,593328.41,284797.64,106799.11,201731.66
2025-08,Japan,Robot Vacuum,5076254.17,2284314.38,913725.75,1878214.04
2025-08,Japan,Wet-Dry Vacuum,1661319.55,797433.38,299037.52,564848.65
2025-08,Japan,Stick Vacuum,922955.3,461477.65,166131.95,295345.7
2025-08,Japan,Washer-Dryer,738364.24,383949.41,132905.56,221509.27
2025-08,Japan,Other Smart Home,830659.77,398716.69,149518.76,282424.32
2025-08,Rest of Europe,Robot Vacuum,5076254.17,2284314.38,913725.75,1878214.04
2025-08,Rest of Europe,Wet-Dry Vacuum,1661319.55,797433.38,299037.52,564848.65
2025-08,Rest of Europe,Stick Vacuum,922955.3,461477.65,166131.95,295345.7
2025-08,Rest of Europe,Washer-Dryer,738364.24,383949.41,132905.56,221509.27
2025-08,Rest of Europe,Other Smart Home,830659.77,398716.69,149518.76,282424.32
2025-08,Rest of Asia,Robot Vacuum,3625895.84,1631653.13,652661.25,1341581.46
2025-08,Rest of Asia,Wet-Dry Vacuum,1186656.82,569595.27,213598.23,403463.32
2025-08,Rest of Asia,Stick Vacuum,659253.79,329626.89,118665.68,210961.21
2025-08,Rest of Asia,Washer-Dryer,527403.03,274249.58,94932.55,158220.91
2025-08,Rest of Asia,Other Smart Home,593328.41,284797.64,106799.11,201731.66
2025-09,China,Robot Vacuum,36683729.07,16507678.08,6603071.23,13572979.76
2025-09,China,Wet-Dry Vacuum,12005584.06,5762680.35,2161005.13,4081898.58
2025-09,China,Stick Vacuum,6669768.92,3334884.46,1200558.41,2134326.06
2025-09,China,Washer-Dryer,5335815.14,2774623.87,960446.72,1600744.54
2025-09,China,Other Smart Home,6002792.03,2881340.17,1080502.57,2040949.29
2025-09,United States,Robot Vacuum,13206142.47,5942764.11,2377105.64,4886272.71
2025-09,United States,Wet-Dry Vacuum,4322010.26,2074564.93,777961.85,1469483.49
2025-09,United States,Stick Vacuum,2401116.81,1200558.41,432201.03,768357.38
2025-09,United States,Washer-Dryer,1920893.45,998864.59,345760.82,576268.03
2025-09,United States,Other Smart Home,2161005.13,1037282.46,388980.92,734741.74
2025-09,Germany,Robot Vacuum,5869396.65,2641228.49,1056491.4,2171676.76
2025-09,Germany,Wet-Dry Vacuum,1920893.45,922028.86,345760.82,653103.77
2025-09,Germany,Stick Vacuum,1067163.03,533581.51,192089.34,341492.17
2025-09,Germany,Washer-Dryer,853730.42,443939.82,153671.48,256119.13
2025-09,Germany,Other Smart Home,960446.72,461014.43,172880.41,326551.89
2025-09,United Kingdom,Robot Vacuum,3668372.91,1650767.81,660307.12,1357297.98
2025-09,United Kingdom,Wet-Dry Vacuum,1200558.41,576268.03,216100.51,408189.86
2025-09,United Kingdom,Stick Vacuum,666976.89,333488.45,120055.84,213432.61
2025-09,United Kingdom,Washer-Dryer,533581.51,277462.39,96044.67,160074.45
2025-09,United Kingdom,Other Smart Home,600279.2,288134.02,108050.26,204094.93
2025-09,Japan,Robot Vacuum,5135722.07,2311074.93,924429.97,1900217.17
2025-09,Japan,Wet-Dry Vacuum,1680781.77,806775.25,302540.72,571465.8
2025-09,Japan,Stick Vacuum,933767.65,466883.82,168078.18,298805.65
2025-09,Japan,Washer-Dryer,747014.12,388447.34,134462.54,224104.24
2025-09,Japan,Other Smart Home,840390.88,403387.62,151270.36,285732.9
2025-09,Rest of Europe,Robot Vacuum,5135722.07,2311074.93,924429.97,1900217.17
2025-09,Rest of Europe,Wet-Dry Vacuum,1680781.77,806775.25,302540.72,571465.8
2025-09,Rest of Europe,Stick Vacuum,933767.65,466883.82,168078.18,298805.65
2025-09,Rest of Europe,Washer-Dryer,747014.12,388447.34,134462.54,224104.24
2025-09,Rest of Europe,Other Smart Home,840390.88,403387.62,151270.36,285732.9
2025-09,Rest of Asia,Robot Vacuum,3668372.91,1650767.81,660307.12,1357297.98
2025-09,Rest of Asia,Wet-Dry Vacuum,1200558.41,576268.03,216100.51,408189.86
2025-09,Rest of Asia,Stick Vacuum,666976.89,333488.45,120055.84,213432.61
2025-09,Rest of Asia,Washer-Dryer,533581.51,277462.39,96044.67,160074.45
2025-09,Rest of Asia,Other Smart Home,600279.2,288134.02,108050.26,204094.93
2025-10,China,Robot Vacuum,37113475.91,16701064.16,6680425.66,13731986.09
2025-10,China,Wet-Dry Vacuum,12146228.48,5830189.67,2186321.13,4129717.68
2025-10,China,Stick Vacuum,6747904.71,3373952.36,1214622.85,2159329.51
2025-10,China,Washer-Dryer,5398323.77,2807128.36,971698.28,1619497.13
2025-10,China,Other Smart Home,6073114.24,2915094.84,1093160.56,2064858.84
2025-10,United States,Robot Vacuum,13360851.33,6012383.1,2404953.24,4943514.99
2025-10,United States,Wet-Dry Vacuum,4372642.25,2098868.28,787075.61,1486698.37
2025-10,United States,Stick Vacuum,2429245.7,1214622.85,437264.23,777358.62
2025-10,United States,Washer-Dryer,1943396.56,1010566.21,349811.38,583018.97
2025-10,United States,Other Smart Home,2186321.13,1049434.14,393537.8,743349.18
2025-10,Germany,Robot Vacuum,5938156.15,2672170.27,1068868.11,2197117.77
2025-10,Germany,Wet-Dry Vacuum,1943396.56,932830.35,349811.38,660754.83
2025-10,Germany,Stick Vacuum,1079664.75,539832.38,194339.66,345492.72
2025-10,Germany,Washer-Dryer,863731.8,449140.54,155471.72,259119.54
2025-10,Germany,Other Smart Home,971698.28,466415.17,174905.69,330377.41
2025-10,United Kingdom,Robot Vacuum,3711347.59,1670106.42,668042.57,1373198.61
2025-10,United Kingdom,Wet-Dry Vacuum,1214622.85,583018.97,218632.11,412971.77
2025-10,United Kingdom,Stick Vacuum,674790.47,337395.24,121462.28,215932.95
2025-10,United Kingdom,Washer-Dryer,539832.38,280712.84,97169.83,161949.71
2025-10,United Kingdom,Other Smart Home,607311.42,291509.48,109316.06,206485.88
2025-10,Japan,Robot Vacuum,5195886.63,2338148.98,935259.59,1922478.05
2025-10,Japan,Wet-Dry Vacuum,1700471.99,816226.55,306084.96,578160.48
2025-10,Japan,Stick Vacuum,944706.66,472353.33,170047.2,302306.13
